rank,bits,int,k_selected,stations,energy,objective,penalty,feasible
228,01111011,123,6,Z0|Z1|Z3|Z4|Z5|Z6,-55.481854,55.481854,90.0,False
229,00001000,8,1,Z3,-55.477968,5.477968,40.0,False
230,11011011,219,6,Z0|Z1|Z3|Z4|Z6|Z7,-55.325657,55.325657,90.0,False
231,00000010,2,1,Z1,-55.284738,5.284738,40.0,False
232,10111011,187,6,Z0|Z1|Z3|Z4|Z5|Z7,-55.212183,55.212183,90.0,False
233,11110101,245,6,Z0|Z2|Z4|Z5|Z6|Z7,-53.159547,53.159547,90.0,False
234,01000000,64,1,Z6,-52.436162,2.436162,40.0,False
235,11111001,249,6,Z0|Z3|Z4|Z5|Z6|Z7,-52.363607,52.363607,90.0,False
236,00100000,32,1,Z5,-52.322688,2.322688,40.0,False
237,11110011,243,6,Z0|Z1|Z4|Z5|Z6|Z7,-52.170377,52.170377,90.0,False
238,10000000,128,1,Z7,-52.166491,2.166491,40.0,False
239,00010000,16,1,Z4,-52.014726,2.014726,40.0,False
240,11101110,238,6,Z1|Z2|Z3|Z5|Z6|Z7,-23.961955,23.961955,90.0,False
241,01111110,126,6,Z1|Z2|Z3|Z4|Z5|Z6,-23.81019,23.81019,90.0,False
242,11011110,222,6,Z1|Z2|Z3|Z4|Z6|Z7,-23.653993,23.653993,90.0,False
243,10111110,190,6,Z1|Z2|Z3|Z4|Z5|Z7,-23.540519,23.540519,90.0,False
244,11111100,252,6,Z2|Z3|Z4|Z5|Z6|Z7,-20.691943,20.691943,90.0,False
245,11110110,246,6,Z1|Z2|Z4|Z5|Z6|Z7,-20.498713,20.498713,90.0,False
246,11111010,250,6,Z1|Z3|Z4|Z5|Z6|Z7,-19.702773,19.702773,90.0,False
247,00000000,0,0,,0.0,0.0,90.0,False
248,11101111,239,7,Z0|Z1|Z2|Z3|Z5|Z6|Z7,8.092473,61.907527,160.0,False
249,01111111,127,7,Z0|Z1|Z2|Z3|Z4|Z5|Z6,8.244238,61.755762,160.0,False
250,11011111,223,7,Z0|Z1|Z2|Z3|Z4|Z6|Z7,8.400435,61.599565,160.0,False
251,10111111,191,7,Z0|Z1|Z2|Z3|Z4|Z5|Z7,8.513909,61.486091,160.0,False
252,11111101,253,7,Z0|Z2|Z3|Z4|Z5|Z6|Z7,11.362485,58.637515,160.0,False
253,11110111,247,7,Z0|Z1|Z2|Z4|Z5|Z6|Z7,11.555715,58.444285,160.0,False
254,11111011,251,7,Z0|Z1|Z3|Z4|Z5|Z6|Z7,12.351655,57.648345,160.0,False
255,11111110,254,7,Z1|Z2|Z3|Z4|Z5|Z6|Z7,44.023319,25.976681,160.0,False
256,11111111,255,8,Z0|Z1|Z2|Z3|Z4|Z5|Z6|Z7,96.077747,63.922253,250.0,False
